Program Version: 4.0 new template
Video Name: cat3_mp4
Frame Rate: 25.0
Zones Covered With Clothes: None
Parameter 1: Parameter 1
Parameter 2: Parameter 2
Parameter 3: Parent

Frame,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Zones,RH_Touch,RH_Look,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Zones,LH_Touch,LH_Look,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Zones,LL_Touch,LL_Look,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Zones,RL_Touch,RL_Look,Parameter_1,Parameter_2,Parameter_3,Note
0,320.0,590.0,On,RH,['BOX1'],,L,324.0,592.0,On,LH,['BOX1'],,L,,,,,,,,,,,,,,L,,,,
1,366.0,586.0,On,RH,['BOX2'],,,,,,,,,NL,,,,,,,,,,,,,,,,ON,,
2,330.0,618.0,On,RH,['BOX3'],,,376.0,580.0,Off,LH,['BOX2'],,DNK,,,,,,,,,,,,,,NL,,,,
3,358.0,630.0,On,RH,['BOX4'],,DNK,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,326.0,632.0,On,LH,['BOX3'],,,,,,,,,,,,,,,,,OFF,,,
5,358.0,594.0,Off,RH,['BOX2'],,NL,374.0,626.0,Off,LH,['BOX4'],,,,,,,,,,,,,,,,,,,,5
6,,,,,,,,,,,,,,NL,,,,,,,,,,,,,,,,,,6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNK,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,326.0,586.0,On,RH,['BOX1'],,,,,,,,,,,,,,,,,,,,,,,,,,ON,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,
13,370.0,632.0,Off,RH,['BOX4'],,,,,,,,,,,,,,,,L,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,ON,,,
15,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,NL,,,,,,,,,,,ll 16 2 tocuhes box 3
17,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,148.0,82.0,On,RH,['10L'],,,,,,,,,,,,,,,,,,,,,,,,,,,23
24,152.0,164.0,On,RH,['9L'],,,,,,,,,,,,,,,,,,,,,,,,,,,
25,148.0,276.0,On,RH,['5L'],,,,,,,,,,,,,,,,,,,,,,,,,,,25
26,158.0,370.0,On,RH,['4L'],,,,,,,,,,,,,,,,,,,,,,,,,,,
