Program Version: 6.1
Video Name: cat3_mp4
Labeling Mode: Normal
Frame Rate: 25.0
Zones Covered With Clothes: None ; Param Labels: Parameter_1="P1", Parameter_2="P2", Parameter_3="P3" ; Limb Param Labels: XX_Parameter_1="Looking", XX_Parameter_2="LP2", XX_Parameter_3="LP34"

Frame,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Look,LH_Zones,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Look,LL_Zones,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Look,RH_Zones,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Look,RL_Zones,Parameter_1,Parameter_2,Parameter_3,LH_Parameter_1,LH_Parameter_2,LH_Parameter_3,LL_Parameter_1,LL_Parameter_2,LL_Parameter_3,RH_Parameter_1,RH_Parameter_2,RH_Parameter_3,RL_Parameter_1,RL_Parameter_2,RL_Parameter_3,Note,Time_ms
0,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,0.0
1,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,40.0
2,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,80.0
3,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,120.0
4,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,160.0
5,314,91,On,LH,No,"[""17LB""]",,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,200.0
6,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,240.0
7,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,280.0
8,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,320.0
9,378,88,Off,LH,No,"[""17RB""]",,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,360.0
10,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,400.0
11,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,440.0
12,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,480.0
13,,,,LH,,[],,,,LL,,[],321,539,On,RH,No,"[""BOX1""]",,,,RL,,[],,,,,,,,,,,,,,,,,520.0
14,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,560.0
15,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,600.0
16,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,640.0
17,,,,LH,,[],,,,LL,,[],325,584,On,RH,No,"[""BOX3""]",,,,RL,,[],,,,,,,,,,,,,,,,,680.0
18,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,720.0
19,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,760.0
20,,,,LH,,[],,,,LL,,[],"324,357","622,632",On,RH,No,"[""BOX5"", ""BOX6""]",,,,RL,,[],,,,,,,,,,,,,,,,,800.0
21,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,840.0
22,,,,LH,,[],,,,LL,,[],376,594,Off,RH,No,"[""BOX4""]",,,,RL,,[],,,,,,,,,,,,,,,,,880.0
23,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,920.0
24,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,ON,,,,,,,960.0
25,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1000.0
26,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1040.0
27,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],ON,,,,,,,,,,,,,,,,1080.0
28,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,ON,,,,,,,,,,,,,1120.0
29,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1160.0
30,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1200.0
31,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,ON,,,,,,,,,,1240.0
32,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1280.0
33,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1320.0
34,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1360.0
35,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1400.0
36,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1440.0
37,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1480.0
38,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1520.0
39,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1560.0
40,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1600.0
41,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1640.0
42,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1680.0
43,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1720.0
44,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1760.0
45,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1800.0
46,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1840.0
47,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1880.0
48,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1920.0
49,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,1960.0
50,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2000.0
51,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2040.0
52,,,,LH,,[],,,,LL,,[],,,,RH,,[],,,,RL,,[],,,,,,,,,,,,,,,,,2080.0
