Program Version: 5.6
Video Name: cat3_mp4
Labeling Mode: Normal
Frame Rate: 25.0
Zones Covered With Clothes: ['BOX2', 'BOX1', 'BOX6', 'BOX5', 'BOX3', 'BOX4']
Limb Parameter 1: Looking
Limb Parameter 2: LP2
Limb Parameter 3: LP3
Parameter 1: P1
Parameter 2: P2
Parameter 3: P3

Frame,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Look,LH_Zones,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Look,LL_Zones,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Look,RH_Zones,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Look,RL_Zones,Parameter_1,Parameter_2,Parameter_3,LH_Parameter_1,LH_Parameter_2,LH_Parameter_3,LL_Parameter_1,LL_Parameter_2,LL_Parameter_3,RH_Parameter_1,RH_Parameter_2,RH_Parameter_3,RL_Parameter_1,RL_Parameter_2,RL_Parameter_3,Note,Time_ms
0,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,0.0
1,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,40.0
2,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,80.0
3,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,120.0
4,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,160.0
5,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,200.0
6,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,240.0
7,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,280.0
8,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,ON,,,,,,,320.0
9,,,,,,[],,,,,,[],,,,,,[],,,,,,[],ON,,,,,,,,,,,,,,,,360.0
10,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,400.0
11,,,,,,[],,,,,,[],,,,,,[],,,,,,[],ON,,,,,,,,,,,,,,,,440.0
12,,,,,,[],,,,,,[],,,,,,[],,,,,,[],OFF,,,,,,,,,,,,,,,,480.0
13,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,520.0
14,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,560.0
15,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,600.0
16,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,OFF,,,,,,test,640.0
17,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,680.0
18,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,720.0
19,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,760.0
20,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,800.0
21,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,840.0
22,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,880.0
23,,,,,,[],,,,,,[],,,,,,[],,,,,,[],OFF,,,,,,,,,,,,,,,,920.0
24,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,960.0
25,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1000.0
26,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1040.0
27,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1080.0
28,,,,,,[],,,,,,[],,,,,,[],,,,,,[],ON,,,,,,,,,ON,,,,,,,1120.0
29,,,,,,[],,,,,,[],,,,,,[],,,,,,[],OFF,,,,,,,,,,,,,,,,1160.0
30,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1200.0
31,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1240.0
32,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1280.0
33,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1320.0
34,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1360.0
35,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1400.0
36,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1440.0
37,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1480.0
38,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1520.0
39,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1560.0
40,,,,,,[],,,,,,[],144.0,74.0,On,RH,No,"[""17L""]",,,,,,[],,,,,,,,,,,,,,,,,1600.0
41,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1640.0
42,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1680.0
43,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1720.0
44,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1760.0
45,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1800.0
46,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1840.0
47,,,,,,[],,,,,,[],220.0,160.0,Off,RH,No,"[""13R""]",,,,,,[],,,,,,,,,,,,,,,,,1880.0
48,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1920.0
49,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,1960.0
50,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2000.0
51,322.0,432.0,On,LH,No,"[""7R""]",,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2040.0
52,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2080.0
53,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2120.0
54,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2160.0
55,310.0,370.0,On,LH,No,"[""8R""]",,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2200.0
56,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2240.0
57,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2280.0
58,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2320.0
59,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2360.0
60,308.0,322.0,On,LH,No,"[""9R""]",,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,ON,,,,,,,2400.0
61,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2440.0
62,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2480.0
63,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2520.0
64,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2560.0
65,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2600.0
66,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2640.0
67,254.0,280.0,Off,LH,No,"[""10R""]",,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2680.0
68,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2720.0
69,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2760.0
70,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2800.0
71,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2840.0
72,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2880.0
73,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2920.0
74,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,2960.0
75,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3000.0
76,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3040.0
77,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,test77,3080.0
78,,,,,,[],,,,,,[],,,,,,[],,,,,,[],ON,,,,ON,OFF,,,,,,,,,,,3120.0
79,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3160.0
80,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3200.0
81,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3240.0
82,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3280.0
83,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3320.0
84,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3360.0
85,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3400.0
86,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3440.0
87,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3480.0
88,,,,,,[],,,,,,[],,,,,,[],,,,,,[],,,,,,,,,,,,,,,,,3520.0
