Frame,RH_X,RH_Y,RH_Onset,RH_Bodypart,RH_Zones,RH_Touch,RH_Look,LH_X,LH_Y,LH_Onset,LH_Bodypart,LH_Zones,LH_Touch,LH_Look,LL_X,LL_Y,LL_Onset,LL_Bodypart,LL_Zones,LL_Touch,LL_Look,RL_X,RL_Y,RL_Onset,RL_Bodypart,RL_Zones,RL_Touch,RL_Look
0,324,578,On,RH,['BOX1'],,L,362.0,348.0,On,LH,['NN'],,,,,,,,,,,,,,,,
1,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,L,,,,,,,,,,,,,,,,,,,,,
10,372,600,On,RH,['BOX2'],,L,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,DNK,374.0,638.0,On,LH,['BOX4'],,L,,,,,,,,,,,,,,
14,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,DNK,,,,,,,,,,,,,,,,,,,,,
20,"312,334,324","634,634,620",On,RH,"['BOX3', 'BOX3', 'BOX3']",,NL,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,NL,,,,,,,,,,,,,,,,,,,,,
30,362,640,Off,RH,['BOX4'],,L,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
